state,offence_category,subcategory,2025_population,2026_population,month,incident_count
NSW,Against justice procedures,Breach bail conditions,8479314,8479314,1995-04-01,131
NSW,Against justice procedures,Fail to appear,8479314,8479314,1995-04-01,121
NSW,Against justice procedures,Resist or hinder officer,8479314,8479314,1995-04-01,322
NSW,Against justice procedures,Other offences against justice procedures,8479314,8479314,1995-04-01,304
NSW,Transport regulatory offences,,8479314,8479314,1995-04-01,53
NSW,Other offences,,8479314,8479314,1995-04-01,545
NSW,Homicide,Murder *,8479314,8479314,1995-05-01,7
NSW,Homicide,Attempted murder,8479314,8479314,1995-05-01,5
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-05-01,2
NSW,Homicide,Manslaughter *,8479314,8479314,1995-05-01,1
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-05-01,602
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-05-01,2127
NSW,Assault,Assault Police,8479314,8479314,1995-05-01,131
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-05-01,148
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-05-01,342
NSW,Abduction and kidnapping,,8479314,8479314,1995-05-01,14
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-05-01,358
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-05-01,68
NSW,Robbery,Robbery with a weapon not a firearm,8479314,8479314,1995-05-01,153
NSW,Blackmail and extortion,,8479314,8479314,1995-05-01,3
NSW,Coercive Control,,8479314,8479314,1995-05-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-05-01,478
NSW,Other offences against the person,,8479314,8479314,1995-05-01,72
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-05-01,4855
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-05-01,3343
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-05-01,521
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-05-01,3833
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-05-01,3873
NSW,Theft,Steal from retail store,8479314,8479314,1995-05-01,2086
NSW,Theft,Steal from dwelling,8479314,8479314,1995-05-01,2029
NSW,Theft,Steal from person,8479314,8479314,1995-05-01,859
NSW,Theft,Stock theft,8479314,8479314,1995-05-01,79
NSW,Theft,Fraud,8479314,8479314,1995-05-01,1325
NSW,Theft,Other theft,8479314,8479314,1995-05-01,3810
NSW,Arson,,8479314,8479314,1995-05-01,231
NSW,Malicious damage to property,,8479314,8479314,1995-05-01,5739
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-05-01,16
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-05-01,110
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-05-01,849
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-05-01,57
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-05-01,2
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-05-01,36
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-05-01,13
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-05-01,61
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-05-01,113
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-05-01,20
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-05-01,2
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-05-01,13
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-05-01,136
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-05-01,0
NSW,Drug offences,Importing drugs,8479314,8479314,1995-05-01,1
NSW,Drug offences,Other drug offences,8479314,8479314,1995-05-01,206
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-05-01,300
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-05-01,248
NSW,Disorderly conduct,Offensive conduct,8479314,8479314,1995-05-01,219
NSW,Disorderly conduct,Offensive language,8479314,8479314,1995-05-01,383
NSW,Disorderly conduct,Criminal intent,8479314,8479314,1995-05-01,152
NSW,Betting and gaming offences,,8479314,8479314,1995-05-01,4
NSW,Liquor offences,,8479314,8479314,1995-05-01,87
NSW,Pornography offences,,8479314,8479314,1995-05-01,3
NSW,Against justice procedures,Escape custody,8479314,8479314,1995-05-01,23
NSW,Against justice procedures,Breach Apprehended Violence Order,8479314,8479314,1995-05-01,287
NSW,Against justice procedures,Breach bail conditions,8479314,8479314,1995-05-01,139
NSW,Against justice procedures,Fail to appear,8479314,8479314,1995-05-01,158
NSW,Against justice procedures,Resist or hinder officer,8479314,8479314,1995-05-01,289
NSW,Against justice procedures,Other offences against justice procedures,8479314,8479314,1995-05-01,384
NSW,Transport regulatory offences,,8479314,8479314,1995-05-01,86
NSW,Other offences,,8479314,8479314,1995-05-01,651
NSW,Homicide,Murder *,8479314,8479314,1995-06-01,10
NSW,Homicide,Attempted murder,8479314,8479314,1995-06-01,1
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-06-01,0
NSW,Homicide,Manslaughter *,8479314,8479314,1995-06-01,0
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-06-01,608
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-06-01,2136
NSW,Assault,Assault Police,8479314,8479314,1995-06-01,146
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-06-01,160
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-06-01,314
NSW,Abduction and kidnapping,,8479314,8479314,1995-06-01,13
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-06-01,319
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-06-01,83
NSW,Robbery,Robbery with a weapon not a firearm,8479314,8479314,1995-06-01,120
NSW,Blackmail and extortion,,8479314,8479314,1995-06-01,1
NSW,Coercive Control,,8479314,8479314,1995-06-01,0
NSW,"Intimidation, stalking and harassment",,8479314,8479314,1995-06-01,533
NSW,Other offences against the person,,8479314,8479314,1995-06-01,72
NSW,Theft,Break and enter dwelling,8479314,8479314,1995-06-01,4932
NSW,Theft,Break and enter non-dwelling,8479314,8479314,1995-06-01,3181
NSW,Theft,Receiving or handling stolen goods,8479314,8479314,1995-06-01,597
NSW,Theft,Motor vehicle theft,8479314,8479314,1995-06-01,3645
NSW,Theft,Steal from motor vehicle,8479314,8479314,1995-06-01,4292
NSW,Theft,Steal from retail store,8479314,8479314,1995-06-01,1935
NSW,Theft,Steal from dwelling,8479314,8479314,1995-06-01,1953
NSW,Theft,Steal from person,8479314,8479314,1995-06-01,817
NSW,Theft,Stock theft,8479314,8479314,1995-06-01,80
NSW,Theft,Fraud,8479314,8479314,1995-06-01,1323
NSW,Theft,Other theft,8479314,8479314,1995-06-01,3575
NSW,Arson,,8479314,8479314,1995-06-01,229
NSW,Malicious damage to property,,8479314,8479314,1995-06-01,5612
NSW,Drug offences,Possession and/or use of cocaine,8479314,8479314,1995-06-01,6
NSW,Drug offences,Possession and/or use of narcotics,8479314,8479314,1995-06-01,115
NSW,Drug offences,Possession and/or use of cannabis,8479314,8479314,1995-06-01,835
NSW,Drug offences,Possession and/or use of amphetamines,8479314,8479314,1995-06-01,91
NSW,Drug offences,Possession and/or use of ecstasy,8479314,8479314,1995-06-01,1
NSW,Drug offences,Possession and/or use of other drugs,8479314,8479314,1995-06-01,15
NSW,Drug offences,"Dealing, trafficking in cocaine",8479314,8479314,1995-06-01,5
NSW,Drug offences,"Dealing, trafficking in narcotics",8479314,8479314,1995-06-01,76
NSW,Drug offences,"Dealing, trafficking in cannabis",8479314,8479314,1995-06-01,122
NSW,Drug offences,"Dealing, trafficking in amphetamines",8479314,8479314,1995-06-01,35
NSW,Drug offences,"Dealing, trafficking in ecstasy",8479314,8479314,1995-06-01,2
NSW,Drug offences,"Dealing, trafficking in other drugs",8479314,8479314,1995-06-01,12
NSW,Drug offences,Cultivating cannabis,8479314,8479314,1995-06-01,130
NSW,Drug offences,Manufacture drug,8479314,8479314,1995-06-01,3
NSW,Drug offences,Importing drugs,8479314,8479314,1995-06-01,0
NSW,Drug offences,Other drug offences,8479314,8479314,1995-06-01,217
NSW,Prohibited and regulated weapons offences,,8479314,8479314,1995-06-01,346
NSW,Disorderly conduct,Trespass,8479314,8479314,1995-06-01,227
NSW,Disorderly conduct,Offensive conduct,8479314,8479314,1995-06-01,219
NSW,Disorderly conduct,Offensive language,8479314,8479314,1995-06-01,357
NSW,Disorderly conduct,Criminal intent,8479314,8479314,1995-06-01,139
NSW,Betting and gaming offences,,8479314,8479314,1995-06-01,7
NSW,Liquor offences,,8479314,8479314,1995-06-01,68
NSW,Pornography offences,,8479314,8479314,1995-06-01,3
NSW,Against justice procedures,Escape custody,8479314,8479314,1995-06-01,20
NSW,Against justice procedures,Breach Apprehended Violence Order,8479314,8479314,1995-06-01,296
NSW,Against justice procedures,Breach bail conditions,8479314,8479314,1995-06-01,123
NSW,Against justice procedures,Fail to appear,8479314,8479314,1995-06-01,173
NSW,Against justice procedures,Resist or hinder officer,8479314,8479314,1995-06-01,282
NSW,Against justice procedures,Other offences against justice procedures,8479314,8479314,1995-06-01,329
NSW,Transport regulatory offences,,8479314,8479314,1995-06-01,66
NSW,Other offences,,8479314,8479314,1995-06-01,572
NSW,Homicide,Murder *,8479314,8479314,1995-07-01,8
NSW,Homicide,Attempted murder,8479314,8479314,1995-07-01,5
NSW,Homicide,"Murder accessory, conspiracy",8479314,8479314,1995-07-01,0
NSW,Homicide,Manslaughter *,8479314,8479314,1995-07-01,1
NSW,Assault,Domestic violence related assault,8479314,8479314,1995-07-01,639
NSW,Assault,Non-domestic violence related assault,8479314,8479314,1995-07-01,2136
NSW,Assault,Assault Police,8479314,8479314,1995-07-01,154
NSW,Sexual offences,Sexual assault,8479314,8479314,1995-07-01,174
NSW,Sexual offences,"Sexual touching, sexual act and other sexual offences",8479314,8479314,1995-07-01,272
NSW,Abduction and kidnapping,,8479314,8479314,1995-07-01,19
NSW,Robbery,Robbery without a weapon,8479314,8479314,1995-07-01,361
NSW,Robbery,Robbery with a firearm,8479314,8479314,1995-07-01,55
