sal_code,sal_name,total_population,completed_year12,total_labour_force,total_unemployed,median_weekly_household_income,served_in_adf,total_volunteers
11980,Illabo,132,45,62,3,1031,5,33
11981,Illaroo,41,14,21,0,1624,4,10
11982,Illawong,7427,3864,3835,116,2778,100,799
11983,Iluka (NSW),1764,452,499,45,834,84,297
11984,Indi,25,12,20,0,3124,0,14
11985,Ingebirah,93,33,48,0,2250,0,14
11986,Ingeegoodbee,0,0,0,0,0,0,0
11987,Ingleburn,15264,6933,6786,459,1596,234,991
11988,Ingleside,1030,488,557,8,2776,18,143
11989,Innes View,26,6,15,0,687,0,0
11990,Inverell,12057,3402,5114,325,1187,281,1486
11991,Invergordon (NSW),34,10,10,0,1041,0,16
11992,Invergowrie,794,360,427,20,1906,24,161
11993,Iron Pot Creek,23,3,12,0,1374,0,3
11994,Ironbark (NSW),22,6,18,0,812,0,0
11995,Ironmungy,0,0,0,0,0,0,0
11996,Irvington,70,14,42,4,1199,5,5
11997,Irymple (NSW),3,0,6,0,400,0,0
11998,Isabella,58,9,19,0,1312,0,5
11999,Islington,2026,1195,1305,63,1828,51,282
12000,Ivanhoe (NSW),261,54,121,0,1416,3,44
12001,Jackadgery,132,23,56,0,1562,7,20
12002,Jacks Creek,180,49,81,3,1224,9,9
12003,Jacksons Flat,41,15,32,0,1375,0,4
12004,Jacky Bulbin Flat,58,24,24,0,1124,4,9
12005,Jagumba,0,0,0,0,0,0,0
12006,Jagungal Wilderness,0,0,0,0,0,0,0
12007,Jamberoo,1910,880,908,19,2131,48,438
12008,James Creek,257,86,107,0,1774,11,39
12009,Jamisontown,5321,1914,2686,97,1538,119,336
12010,Jannali,6632,3237,3389,126,2220,103,736
12011,Jaspers Brush,362,175,175,0,1890,7,85
12012,Jaunter,11,5,3,0,537,0,3
12013,Jeir,271,149,160,0,3536,10,44
12014,Jellat Jellat,85,38,43,0,1875,5,30
12015,Jemalong,82,26,42,0,1218,0,17
12016,Jembaicumbene,64,27,41,0,2250,4,7
12017,Jennings,168,38,47,8,792,16,21
12018,Jenolan,36,14,22,0,2083,3,4
12019,Jeogla,40,13,24,0,1375,0,7
12020,Jerangle,90,31,46,0,1812,9,23
12021,Jeremadra,187,64,94,3,1708,4,18
12022,Jeremy,0,0,0,0,0,0,0
12023,Jerilderie,922,257,391,13,1166,25,208
12024,Jerrabattgulla,16,9,12,0,866,3,7
12025,Jerrabomberra,9601,5274,5814,103,3403,1009,1371
12026,Jerrara,132,70,69,0,2899,0,22
12027,Jerrawa,106,35,50,4,1875,10,21
12028,Jerrawangala,60,12,25,0,1906,0,7
12029,Jerrong,16,7,3,0,1374,0,0
12030,Jerrys Plains,447,140,253,15,2020,11,52
12031,Jerseyville,132,42,50,4,1015,3,11
12032,Jesmond,3210,1413,1398,138,1180,69,288
12033,Jewells,2452,866,1169,33,1732,77,288
12034,Jews Lagoon,0,0,0,0,1874,0,0
12035,Jiggi,370,137,203,12,1318,7,57
12036,Jilliby,1694,683,928,29,2713,28,211
12037,Jimenbuen,40,9,22,0,1562,0,9
12038,Jincumbilly,10,3,3,0,900,0,5
12039,Jindabyne,2986,1691,1975,36,2058,75,501
12040,Jinden,20,9,6,0,900,0,5
12041,Jindera,2721,841,1368,41,2013,85,398
12042,Jingellic,73,19,43,0,1562,5,20
12043,Jingera,39,12,26,0,1625,0,0
12044,Joadja,139,61,66,3,2042,3,19
12045,Joes Box,24,9,9,0,725,0,4
12046,Johns River,346,102,141,14,1194,13,54
12047,Jolly Nose,0,0,0,0,0,0,0
12048,Jones Bridge,15,6,7,0,2250,0,0
12049,Jones Island,82,25,36,0,1100,4,7
12050,Jordan Springs,11772,5388,6302,226,2484,195,638
12051,Judds Creek,12,6,12,0,2250,0,3
12052,Jugiong,255,85,129,0,1303,7,44
12053,Junction Hill,1547,491,624,21,1340,61,238
12054,Junee,5066,1128,1918,105,1354,122,569
12055,Junee Reefs,86,32,44,0,1687,0,33
12056,Kahibah,2603,1140,1373,49,1804,69,308
12057,Kains Flat,219,48,89,4,1625,7,18
12058,Kalang,280,126,123,10,989,3,64
12059,Kalaru,820,317,403,18,1458,17,175
12060,Kalkite,294,128,159,6,1589,9,37
12061,Kamarah,83,20,40,4,949,0,18
12062,Kameruka,192,59,82,0,1768,4,32
12063,Kanahooka,5698,1824,2352,96,1399,141,545
12064,Kanangra,0,0,0,0,0,0,0
12065,Kandos,1263,284,358,41,677,42,179
12066,Kangaloon,206,104,92,3,2650,3,32
12067,Kangaroo Creek,102,34,40,7,974,4,17
12068,Kangaroo Point (NSW),602,353,300,15,4111,5,63
12069,Kangaroo Valley,856,445,412,13,1578,26,210
12070,Kangaroobie,60,31,38,3,2250,0,7
12071,Kangiara,50,26,34,0,2250,0,6
12072,Kangy Angy,331,100,128,0,1199,10,32
12073,Kanimbla (NSW),184,82,81,0,1625,4,50
12074,Kanoona,147,46,74,0,1937,7,16
12075,Kanwal,4194,1215,1674,105,1344,114,265
12076,Kapooka,395,242,297,5,2386,261,34
12077,Kaputar,4,0,0,0,0,0,0
12078,Karaak Flat,43,10,21,0,1125,0,6
12079,Karabar,8517,3569,4508,191,1989,366,869
12080,Karangi,515,182,263,16,1899,15,80
12081,Kareela,3572,1816,1760,57,2765,70,380
12082,Kariong,6485,2736,3503,151,2200,112,611
12083,Kars Springs,37,21,27,0,1749,0,7
12084,Karuah,1618,320,559,27,1061,71,178
12085,Katoomba,8268,4150,3790,225,1171,204,1340
12086,Kayuga,49,15,25,0,1416,3,4
12087,Kearns,2693,1124,1438,59,2147,40,206
12088,Kearsley,838,214,404,19,1467,18,71
12089,Keepit,16,9,11,0,1999,0,0
12090,Keera,45,19,25,4,1042,0,11
12091,Keerrong,155,61,84,0,2125,4,24
12092,Keinbah,109,34,50,0,2042,7,14
12093,Keiraville,4001,2413,1985,190,1739,59,618
12094,Keith Hall,156,63,91,0,1286,9,19
12095,Kellys Plains,169,83,87,0,2374,0,36
12096,Kellyville,27011,15389,14495,593,3044,272,2836
12097,Kellyville Ridge,10890,5963,5906,255,3073,136,959
12098,Kelso (NSW),10039,3438,4835,216,1737,224,1062
12099,Kelvin,182,56,100,4,1812,0,32
12100,Kembla Grange,1452,625,822,36,2574,21,91
12101,Kembla Heights,88,25,41,0,1265,4,11
12102,Kemps Creek,2121,691,867,40,1753,29,75
12103,Kempsey,483,139,180,27,881,15,41
12104,Kendall,1153,320,510,27,1381,17,162
12105,Kenebri,31,7,17,3,725,0,9
12106,Kennaicle Creek,3,0,0,0,1875,0,4
12107,Kensington (NSW),11927,8263,6468,383,2118,147,1588
12108,Kenthurst,5313,2659,2760,88,3061,74,719
12109,Kentlyn,726,276,321,21,2066,8,78
12110,Kentucky,179,73,110,0,1531,5,35
12111,Kentucky South,121,46,55,0,1312,4,23
12112,Kerewong,7,0,0,0,762,0,0
12113,Keri Keri,4,0,5,0,2750,0,0
12114,Kerrabee,11,5,3,0,725,0,3
12115,Kerrigundi,14,0,8,0,75,0,0
12116,Kerrs Creek,58,19,34,0,1416,0,4
12117,Kew (NSW),1761,505,546,22,1107,102,302
12118,Keybarbin,0,0,0,0,0,0,0
12119,Khancoban,319,103,143,3,1199,12,64
12120,Khatambuhl,0,0,0,0,0,0,0
12121,Kia Ora (NSW),34,10,12,0,1458,0,4
12122,Kiacatoo,77,20,24,0,1812,0,4
12123,Kiah,101,30,49,4,1041,0,18
12124,Kiama,7904,3643,3355,127,1572,278,1321
12125,Kiama Downs,5087,2199,2475,81,2103,124,792
12126,Kiama Heights,878,409,382,17,1758,30,131
12127,Kianga (NSW),785,265,266,4,1108,28,138
12128,Kiar,25,5,18,0,1125,0,3
12129,Kickabil,67,22,37,0,1374,0,14
12130,Kielvale,251,94,129,3,1531,4,44
12131,Kikiamah,107,38,63,3,1792,0,20
12132,Kikoira,60,24,33,0,1562,3,18
12133,Kilaben Bay,1516,629,740,27,2186,45,213
12134,Kilgin,59,14,33,0,1187,3,9
12135,Kilgra,79,15,36,0,1312,0,8
12136,Killabakh,248,69,92,4,982,5,48
12137,Killara (NSW),10620,7092,5188,245,2802,162,1786
12138,Killarney Heights,4502,2638,2303,76,3426,58,697
12139,Killarney Vale,7491,2392,3367,152,1524,133,586
12140,Killawarra (NSW),178,40,79,6,1575,12,29
12141,Killcare,517,303,240,11,1890,10,117
12142,Killcare Heights,812,428,354,12,2133,14,150
12143,Killiekrankie,0,0,0,0,0,0,0
12144,Killimicat,35,12,13,0,1812,0,4
12145,Killingworth (NSW),690,191,394,17,2091,19,47
